nids_a_excluir ,razon,fecha
58996375370,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57970808658,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58131917868,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58052138900,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59133587284,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59273178021,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58436183146,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59034018331,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59325250395,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58014850060,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58440417079,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59426073894,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58657964144,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59020827474,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58226755198,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59136857944,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58173253796,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58837056152,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59181780893,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58644424084,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59220255508,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58998296634,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58507400628,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58727884363,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58242817939,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59133855110,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58099135033,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58926852171,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58060914291,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59174718986,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58006264837,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59134938925,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59389915557,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59156912392,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58158551672,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57946821176,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58246939302,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58499775846,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59122230660,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57725271937,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58270806564,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58166687241,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58835015437,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58790653986,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59454474756,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59145373816,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58384204701,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59099198275,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58382780306,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59122718539,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58441971036,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59065179927,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58867554194,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59168331437,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59369114637,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59119503545,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58435404981,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57988223101,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58002790961,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58522466187,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58004710065,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58886577787,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58227102213,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58238366736,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58438113065,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58822015776,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59223277467,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58067358742,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58844024613,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58211313733,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59038707369,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59224318250,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58136531562,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59391471632,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58444381208,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57958971056,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58967297958,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59213030452,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59341840166,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59377641910,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59098879809,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59390345286,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58318429791,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59318989455,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58726161932,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58940407828,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58240670060,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58066459010,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59147287951,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59038715491,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58051676600,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58370246020,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58014475911,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58210712413,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59007298886,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59368996636,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58946875435,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58655666544,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
